"Peel","q","Diff","Rel.diff"
1,0.0728101272050072,0.00923227099290659,0.145212052481087
2,0.0628052183817587,-0.000772637830341927,-0.0121526247718128
3,0.05506249306678,-0.00851536314532068,-0.133935990495067
4,0.0535195045253777,-0.0100583516867229,-0.1582052665187
5,0.0609558154518498,-0.00262204076025084,-0.0412414151163498
6,0.0729151441029239,0.00933728789082322,0.146863836674098
7,0.0517620203927788,-0.0118158358193218,-0.185848289377724
