"Peel","Fleet.Sel","Diff","Rel.diff"
1,0.257164937093384,0.00687024736939412,0.0274486341558833
2,0.245754647708896,-0.00454004201509417,-0.0181387868040694
3,0.237347349591846,-0.0129473401321439,-0.0517283852343068
4,0.238386964759858,-0.0119077249641322,-0.0475748206135069
5,0.23932561228665,-0.0109690774373402,-0.0438246510520708
6,0.248888749290319,-0.00140594043367145,-0.00561714048037471
7,0.241259400567382,-0.00903528915660873,-0.0360986050745715
